experiment,dim,method,rel_error,mae,train_time_s,infer_time_s,n_test
dimension,1,VanillaNN,0.015512984190638816,0.2958459409152841,2.419816017150879,0.0004360675811767578,300
dimension,1,PINN,0.005826646530773892,0.111119156965156,10.298526048660278,0.00037479400634765625,300
dimension,1,ICPINN,0.04278899503637385,0.8160229096987274,10.39489197731018,0.0003898143768310547,300
dimension,1,MonteCarlo,0.0057501455319420155,0.10966021716980488,0.0,0.10691142082214355,300
dimension,1,FDM,0.001835762936567762,0.03500957691905763,0.016643285751342773,0.0006835460662841797,300
dimension,1,BinomialTree,0.001829988165834318,0.03489944707813142,0.0,0.22661590576171875,300
dimension,2,VanillaNN,0.007077205808216569,0.11970416284425106,2.609835147857666,0.0003104209899902344,300
dimension,2,PINN,0.03788175094840254,0.6407335616958191,12.202404499053955,0.0004191398620605469,300
dimension,2,ICPINN,0.03176429403310066,0.5372626328255847,12.569190263748169,0.00037169456481933594,300
dimension,2,MonteCarlo,0.0035753050310564733,0.060472862772843874,0.0,0.1371169090270996,300
dimension,2,FDM,0.0017142904764741005,0.02899558270863909,0.5653848648071289,0.00047397613525390625,300
dimension,3,VanillaNN,0.012327497739754896,0.2120158821041385,2.3114659786224365,0.0003070831298828125,300
dimension,3,PINN,0.05444049655075468,0.9363011165820789,14.072938919067383,0.00035881996154785156,300
dimension,3,ICPINN,0.05346582248036633,0.9195380729247271,14.905375003814697,0.0004391670227050781,300
dimension,3,MonteCarlo,0.0049871540606763526,0.08577214043638966,0.0,0.19432592391967773,300
dimension,5,VanillaNN,0.013529094867574788,0.17336829494785116,2.5477442741394043,0.0003325939178466797,300
dimension,5,PINN,0.06919832678047504,0.8867404689376472,19.263795375823975,0.00036597251892089844,300
dimension,5,ICPINN,0.09363158247733014,1.199839898105001,19.155468702316284,0.00042700767517089844,300
dimension,5,MonteCarlo,0.006208174866082166,0.07955452318176448,0.0,0.3449835777282715,300
