experiment,dim,frac,n_points,method,rel_error,mae
sparsity,3,1.0,800,VanillaNN,0.012067825590356159,0.14201758398339287
sparsity,3,1.0,800,PINN,0.07442040546559794,0.8758003754822895
sparsity,3,0.5,400,VanillaNN,0.018093487780744343,0.21292928052488663
sparsity,3,0.5,400,PINN,0.06252012002563898,0.7357544513643357
sparsity,3,0.25,200,VanillaNN,0.016865301832325614,0.19847564098802026
sparsity,3,0.25,200,PINN,0.06582096288429744,0.7745997035090243
sparsity,3,0.1,80,VanillaNN,0.034007666027448834,0.40021183020675827
sparsity,3,0.1,80,PINN,0.07531069992187217,0.8862776123935451
sparsity,3,0.05,40,VanillaNN,0.04943758421276679,0.5817954705513319
sparsity,3,0.05,40,PINN,0.08396635207244417,0.9881397744724565
sparsity,3,0.02,20,VanillaNN,0.12220779973049455,1.4381759441005433
sparsity,3,0.02,20,PINN,0.07778724719844869,0.9154223210410678
