experiment,dim,method,n_query,total_time_s,per_query_ms
speed,1,VanillaNN,2000,0.001379251480102539,0.0006896257400512695
speed,1,PINN,2000,0.0011320114135742188,0.0005660057067871094
speed,1,ICPINN,2000,0.0015406608581542969,0.0007703304290771484
speed,1,MonteCarlo(8k paths),2000,1.6393132209777832,0.8196566104888916
speed,2,VanillaNN,2000,0.0014867782592773438,0.0007433891296386719
speed,2,PINN,2000,0.0010099411010742188,0.0005049705505371094
speed,2,ICPINN,2000,0.0010106563568115234,0.0005053281784057617
speed,2,MonteCarlo(8k paths),2000,2.0191502571105957,1.0095751285552979
speed,3,VanillaNN,2000,0.0015499591827392578,0.0007749795913696289
speed,3,PINN,2000,0.0011303424835205078,0.0005651712417602539
speed,3,ICPINN,2000,0.0011820793151855469,0.0005910396575927734
speed,3,MonteCarlo(8k paths),2000,2.884596347808838,1.442298173904419
speed,5,VanillaNN,2000,0.0018038749694824219,0.0009019374847412109
speed,5,PINN,2000,0.0010492801666259766,0.0005246400833129883
speed,5,ICPINN,2000,0.0011229515075683594,0.0005614757537841797
speed,5,MonteCarlo(8k paths),2000,4.4649131298065186,2.2324565649032593
